imb_id;imb_longitude;imb_latitude;imb_code;imb_code_insee;imb_nbr_logloc;imb_source;imb_type;addr_code;imb_num;addr_numero;addr_rep;addr_nom_voie;addr_nom_ld;addr_code_insee;addr_nom_commune;addr_id_fantoir;addr_source
1712106;639132.7569447862;5650445.078576839;IMB/38185/S/061F;38185;1;fo;pav;38185_0015_00002_b;;2;b;Impasse de l'Abbaye;NA;38185;Grenoble;38185_0015;ban
2507477;639200.4810846858;5650437.86602104;IMB/38185/S/061C;38185;1;fo;pav;38185_0015_00008;;8;;Impasse de l'Abbaye;NA;38185;Grenoble;38185_0015;ban
3536347;639151.2149911685;5650445.701740325;IMB/38185/C/061A;38185;6;fo;imm;38185_0015_00004;;4;;Impasse de l'Abbaye;NA;38185;Grenoble;38185_0015;ban
8059828;639262.6040594926;5650432.313845218;IMB/38185/S/061E;38185;1;fo;pav;38185_0015_00012;;12;;Impasse de l'Abbaye;NA;38185;Grenoble;38185_0015;ban
1994196;638165.7893578694;5651555.098327854;IMB/38185/X/03D1;38185;1;fo;pav;38185_0040_00006;;6;;Rue Abbé de la Salle;NA;38185;Grenoble;38185_0040;ban
2918022;638206.5791613554;5651547.633064222;IMB/38185/C/0129;38185;10;fo;imm;38185_0040_00001;;1;;Rue Abbé de la Salle;NA;38185;Grenoble;38185_0040;ban
5248147;638181.9083879304;5651567.204070695;IMB/38185/C/012B;38185;7;fo;imm;38185_0040_00004;;4;;Rue Abbé de la Salle;NA;38185;Grenoble;38185_0040;ban
5695809;638181.7937781041;5651498.94157934;IMB/38185/C/012A;38185;3;fo;imm;38185_0040_00003;ecole menon;3;;Rue Abbé de la Salle;NA;38185;Grenoble;38185_0040;ban
6107712;638075.2615025128;5651493.60513007;IMB/38185/X/03D2;38185;1;fo;pav;38185_0040_00018;;18;;Rue Abbé de la Salle;NA;38185;Grenoble;38185_0040;ban
8831606;638082.7564001159;5651503.235403432;IMB/38185/C/012C;38185;7;fo;imm;38185_0040_00016;;16;;Rue Abbé de la Salle;NA;38185;Grenoble;38185_0040;ban
521873;635942.0685111855;5651164.867923963;IMB/38185/C/03TI;38185;12;fo;imm;38185_0050_00019;;19;;Rue Abbé Grégoire;NA;38185;Grenoble;38185_0050;ban
557502;635753.9647715958;5650346.755528538;IMB/38185/X/031Y;38185;1;fo;pav;38185_0050_00094;2;94;;Rue Abbé Grégoire;NA;38185;Grenoble;38185_0050;ban
557581;635744.4915215013;5650357.113470889;IMB/38185/X/031Z;38185;1;fo;pav;38185_0050_00094;3;94;;Rue Abbé Grégoire;NA;38185;Grenoble;38185_0050;ban
558090;635731.0849040545;5650342.051582186;IMB/38185/X/0320;38185;1;fo;pav;38185_0050_00094;4;94;;Rue Abbé Grégoire;NA;38185;Grenoble;38185_0050;ban
611101;635779.203319833;5650307.2681875;IMB/38185/C/03US;38185;2;fo;pav;38185_0050_00094;;94;;Rue Abbé Grégoire;NA;38185;Grenoble;38185_0050;ban
611130;635740.8054100117;5650237.831069267;IMB/38185/S/03UW;38185;1;fo;pav;38185_0050_00102;;102;;Rue Abbé Grégoire;NA;38185;Grenoble;38185_0050;ban
761062;635845.7355863303;5650702.569879968;IMB/38185/C/03U5;38185;7;fo;imm;38185_0050_00064;;64;;Rue Abbé Grégoire;NA;38185;Grenoble;38185_0050;ban
823124;635849.906598487;5650733.674381539;IMB/38185/C/03U4;38185;19;fo;imm;38185_0050_00062;;62;;Rue Abbé Grégoire;NA;38185;Grenoble;38185_0050;ban
926785;635799.8839012777;5650393.124924537;IMB/38185/C/03VI;38185;8;fo;imm;38185_0050_00088_bis;;88;bis;Rue Abbé Grégoire;NA;38185;Grenoble;38185_0050;ban
1172876;635844.4983440414;5650475.098138975;IMB/38185/C/03U2;38185;14;fo;imm;38185_0050_00057;;57;;Rue Abbé Grégoire;NA;38185;Grenoble;38185_0050;ban
1415457;635766.8612587882;5650151.38960993;IMB/38185/C/03UY;38185;14;fo;imm;38185_0050_00106;;106;;Rue Abbé Grégoire;NA;38185;Grenoble;38185_0050;ban
1479937;635813.6631362997;5650284.452439407;IMB/38185/C/03UD;38185;10;fo;imm;38185_0050_00077;;77;;Rue Abbé Grégoire;NA;38185;Grenoble;38185_0050;ban
1479996;635855.96806584;5650776.08336939;IMB/38185/S/03U3;38185;9;fo;imm;38185_0050_00060;;60;;Rue Abbé Grégoire;NA;38185;Grenoble;38185_0050;ban
1804124;635900.1855270955;5650927.145649097;ID-3818500000EZ;38185;17;fo;imm;38185_0050_00035;;35;;Rue Abbé Grégoire;NA;38185;Grenoble;38185_0050;ban
