;dpt;techno_maj;débit_maj;pourcentage_bas_debit;imb_latitude;imb_longitude
0;;SAT;BHD8;0;5650445.078576839;639132.7569447862
1;;SAT;BHD8;0;5650437.86602104;639200.4810846858
2;;SAT;BHD8;0;5650445.701740325;639151.2149911685
3;;SAT;BHD8;0;5650432.313845217;639262.6040594926
4;;SAT;BHD8;0;5651555.098327854;638165.7893578694
5;;SAT;BHD8;0;5651547.633064223;638206.5791613554
6;;SAT;BHD8;0;5651567.204070695;638181.9083879304
7;;SAT;BHD8;0;5651498.94157934;638181.793778104
8;;SAT;BHD8;0;5651493.60513007;638075.2615025128
9;;SAT;BHD8;0;5651503.2354034325;638082.7564001159
10;;SAT;BHD8;0;5651164.867923963;635942.0685111855
11;;SAT;BHD8;0;5650346.755528538;635753.9647715958
12;;SAT;BHD8;0;5650357.113470889;635744.4915215013
13;;SAT;BHD8;0;5650342.0515821865;635731.0849040545
14;;SAT;BHD8;0;5650307.2681875;635779.2033198329
15;;SAT;BHD8;0;5650237.831069267;635740.8054100117
16;;SAT;BHD8;0;5650702.569879968;635845.7355863303
17;;SAT;BHD8;0;5650733.674381537;635849.906598487
18;;SAT;BHD8;0;5650393.124924538;635799.8839012778
19;;SAT;BHD8;0;5650475.098138975;635844.4983440414
20;;SAT;BHD8;0;5650151.38960993;635766.8612587882
21;;SAT;BHD8;0;5650284.452439408;635813.6631362997
22;;SAT;BHD8;0;5650776.08336939;635855.96806584
23;;SAT;BHD8;0;5650927.145649098;635900.1855270955
24;;SAT;BHD8;0;5650212.931300667;635823.3535381106
25;;SAT;BHD8;0;5651181.778999598;635945.6261941346
26;;SAT;BHD8;0;5650384.599963257;635799.5211173244
27;;SAT;BHD8;0;5650373.310770815;635797.6171695178
28;;SAT;BHD8;0;5650678.870444938;635834.7980315825
29;;SAT;BHD8;0;5650594.068268051;635822.6618137892
30;;SAT;BHD8;0;5650356.352646218;635828.0800320028
31;;SAT;BHD8;0;5650271.679614218;635813.1123516132
32;;SAT;BHD8;0;5650047.549860393;635800.6877412811
33;;SAT;BHD8;0;5650017.553750569;635803.6456086637
34;;SAT;BHD8;0;5650208.765059679;635755.1546531515
35;;SAT;BHD8;0;5650267.164471177;635785.9988571545
36;;SAT;BHD8;0;5650940.008078813;635880.0046752329
37;;SAT;BHD8;0;5650455.33190995;635808.2253389148
38;;SAT;BHD8;0;5651314.76493776;635896.0446027842
39;;SAT;BHD8;0;5650241.143826974;635828.8150504379
40;;SAT;BHD8;0;5650637.596537285;635868.4710822813
41;;SAT;BHD8;0;5650292.506878262;635758.7304511243
42;;SAT;BHD8;0;5650828.472880179;635861.052409364
43;;SAT;BHD8;0;5650341.576788148;635775.0030858446
44;;SAT;BHD8;0;5650360.600362965;635795.6645674836
45;;SAT;BHD8;0;5650497.977047573;635808.6360056577
46;;SAT;BHD8;0;5651463.398279826;635944.9333703107
47;;SAT;BHD8;0;5650858.122889098;635899.1688881639
48;;SAT;BHD8;0;5650401.572646177;635801.6622057882
49;;SAT;BHD8;0;5651307.800245269;635925.519686189
50;;SAT;BHD8;0;5651165.042527395;635905.2273669977
51;;SAT;BHD8;0;5650478.037076138;635809.187099618
52;;SAT;BHD8;0;5650849.708852093;635863.382238975
53;;SAT;BHD8;0;5650415.97001081;635830.6319378541
54;;SAT;BHD8;0;5650814.278461947;635860.4386844302
55;;SAT;BHD8;0;5650978.911565502;635934.1103861766
56;;SAT;BHD8;0;5650757.989707952;635846.69730807
57;;SAT;BHD8;0;5650275.597420646;635755.1734852103
58;;SAT;BHD8;0;5651149.237533958;635908.7990776912
59;;SAT;BHD8;0;5650938.567147144;635946.5564243457
60;;SAT;BHD8;0;5650987.9902424775;635899.4470771129
61;;SAT;BHD8;0;5652149.905140141;637896.5662339642
62;;SAT;BHD8;0;5652110.263294429;637859.4120314918
63;;SAT;BHD8;0;5652119.830548001;637868.337652568
64;;SAT;BHD8;0;5651756.77053377;635605.9614250001
65;;SAT;BHD8;0;5651694.98184377;635488.5053319196
66;;SAT;BHD8;0;5651759.2190779485;635581.9752642334
67;;SAT;BHD8;0;5651737.444454941;635493.1490126664
68;;SAT;BHD8;0;5651758.366213067;635469.9506959324
69;;SAT;BHD8;0;5651752.255615091;635479.6136363518
70;;SAT;BHD8;0;5651704.567169591;635530.0227138192
71;;SAT;BHD8;0;5651899.116215742;637677.3846301243
72;;SAT;BHD8;0;5651886.333067113;637644.2356169911
73;;SAT;BHD8;0;5651205.32316784;637474.6072626136
74;;SAT;BHD8;0;5651212.3964020675;637409.708069311
75;;SAT;BHD8;0;5651250.218402676;637390.0756713842
76;;SAT;BHD8;0;5651015.286943366;637626.599338991
77;;SAT;BHD8;0;5650863.472565543;637683.8581696425
78;;SAT;BHD8;0;5651089.1358168125;637563.1644609093
79;;SAT;BHD8;0;5650908.890269241;637653.2142824209
80;;SAT;BHD8;0;5651286.21409516;637412.8871697608
81;;SAT;BHD8;0;5650931.047098096;637634.320462286
82;;SAT;BHD8;0;5651271.400235229;637426.4327502601
83;;SAT;BHD8;0;5650987.396991049;637646.6715959242
84;;SAT;BHD8;0;5650980.7765726885;637602.4488680402
85;;SAT;BHD8;0;5650879.064719615;637718.4333943328
86;;SAT;BHD8;0;5650935.691109335;637691.2108661539
87;;SAT;BHD8;0;5651259.491922027;637438.6741771173
88;;SAT;BHD8;0;5650251.684203385;636737.7236080135
89;;SAT;BHD8;0;5651344.840151748;635594.0088726729
90;;SAT;BHD8;0;5651610.183709905;635608.1936861471
91;;SAT;BHD8;0;5651571.859039952;635606.5561481458
