Ancien nom;"Inscrits	";Emarg鳉;"Procurations	";"Votants	";"Blancs	";"Nuls	";Exprim鳉;BOUDOT;WAUQUIEZ;QUEYRANNE;%fn;Nom Bureau;%_nb;% real;%real
 3061 - ABBAYE 1er bureau;"1007";"585";"9";"585";"8";"8";"569";"95";"161";"313";"16,69595782";ABBAYE 1er bureau;"16.70";"16.70";16.70
 3062 - ABBAYE 2ème;"772";"305";"8";"305";"4";"9";"292";"54";"73";"165";"18,49315068";ABBAYE 2ème;"18.49";"18.49";18.49
 4011 - ALPHONSE DAUDET 1er bureau;"1218";"572";"7";"572";"15";"4";"553";"114";"165";"274";"20,61482821";ALPHONSE DAUDET 1er bureau;"20.61";"20.61";20.61
 4012 - ALPHONSE DAUDET 2ème bureau;"789";"374";"7";"374";"7";"4";"363";"67";"90";"206";"18,45730028";ALPHONSE DAUDET 2ème bureau;"18.46";"18.46";18.46
 1061 - AMPERE 1er bureau;"1103";"648";"12";"648";"12";"4";"632";"79";"122";"431";"12,5";AMPERE 1er bureau;"12.50";"12.50";12.50
 1062 - AMPERE 2ème bureau;"1230";"709";"25";"709";"17";"5";"687";"63";"108";"516";"9,170305677";AMPERE 2ème bureau;"9.17";"9.17";9.17
 1091 - ANATOLE France 1er bureau;"1033";"333";"0";"336";"12";"3";"321";"40";"65";"216";"12,46105919";ANATOLE France 1er bureau;"12.46";"12.46";12.46
 1092 - ANATOLE France 2ème bureau;"1126";"604";"8";"604";"8";"3";"593";"119";"254";"220";"20,06745363";ANATOLE France 2ème bureau;"20.07";"20.07";20.07
 4101 - ANDRE ABRY 1er bureau;"831";"419";"4";"419";"12";"4";"403";"89";"132";"182";"22,08436725";ANDRE ABRY;"22.08";"22.08";22.08
 4081 - ARLEQUIN 1er bureau;"1031";"340";"3";"340";"7";"1";"332";"27";"47";"258";"8,13253012";ARLEQUIN 1er bureau;"8.13";"8.13";8.13
 4082 - ARLEQUIN 2ème bureau;"924";"400";"6";"400";"12";"5";"383";"40";"47";"296";"10,44386423";ARLEQUIN 2ème bureau;"10.44";"10.44";10.44
 4083 - ARLEQUIN 3ème bureau;"618";"281";"10";"281";"6";"4";"271";"39";"46";"186";"14,39114391";ARLEQUIN 3ème bureau;"14.39";"14.39";14.39
 3051 - BAJATIERE 1er bureau;"1158";"667";"24";"667";"9";"5";"653";"66";"238";"349";"10,10719755";BAJATIERE 1er bureau;"10.11";"10.11";10.11
 3052 - BAJATIERE 2ème bureau;"976";"555";"9";"555";"12";"9";"534";"66";"165";"303";"12,35955056";BAJATIERE 2ème bureau;"12.36";"12.36";12.36
 3021 - BALADINS 1er bureau;"1001";"554";"19";"554";"10";"3";"541";"56";"72";"413";"10,35120148";BALADINS 1er bureau;"10.35";"10.35";10.35
 3022 - BALADINS 2ème bureau;"993";"377";"10";"377";"9";"4";"364";"16";"40";"308";"4,395604396";BALADINS 2ème bureau;"4.40";"4.40";4.40
 3023 - BALADINS 3ème bureau;"959";"452";"19";"452";"7";"4";"441";"43";"62";"336";"9,750566893";BALADINS 3ème bureau;"9.75";"9.75";9.75
 4071 - BEAUVERT 1er bureau;"740";"354";"5";"355";"5";"6";"344";"73";"98";"173";"21,22093023";BEAUVERT 1er bureau;"21.22";"21.22";21.22
 4072 - BEAUVERT 2ème bureau;"910";"468";"10";"468";"11";"3";"454";"149";"147";"158";"32,81938326";BEAUVERT 2ème bureau;"32.82";"32.82";32.82
 2021 - BERLIOZ 1er bureau;"1307";"782";"30";"782";"8";"6";"768";"57";"337";"374";"7,421875";BERLIOZ 1er bureau;"7.42";"7.42";7.42
 2022 - BERLIOZ 2ème bureau;"1280";"767";"49";"767";"14";"3";"750";"46";"193";"511";"6,133333333";BERLIOZ 2ème bureau;"6.13";"6.13";6.13
BERRIAT 1er bureau;"1144";"628";"19";"628";"14";"2";"612";"51";"227";"334";"8,333333333";BERRIAT 1er bureau;"8.33";"8.33";8.33
BERRIAT 2ème bureau;"914";"424";"15";"424";"11";"5";"408";"26";"116";"266";"6,37254902";BERRIAT 2ème bureau;"6.37";"6.37";6.37
BERRIAT 3ème bureau;"1087";"666";"18";"666";"13";"4";"649";"68";"177";"404";"10,47765794";BERRIAT 3ème bureau;"10.48";"10.48";10.48
BERRIAT 4ème bureau;"1205";"616";"10";"616";"9";"5";"602";"64";"172";"366";"10,63122924";BERRIAT 4ème bureau;"10.63";"10.63";10.63
 4021 - BERTHE DE BOISSIEUX 1er bureau;"1329";"747";"9";"749";"13";"4";"732";"81";"237";"414";"11,06557377";BERTHE DE BOISSIEUX 1er bureau;"11.07";"11.07";11.07
 4022 - BERTHE DE BOISSIEUX 2ème bureau;"1150";"643";"20";"643";"10";"2";"631";"70";"241";"320";"11,09350238";BERTHE DE BOISSIEUX 2ème bureau;"11.09";"11.09";11.09
 4023 - BERTHE DE BOISSIEUX 3ème bureau;"1195";"664";"34";"665";"13";"11";"641";"56";"218";"367";"8,736349454";BERTHE DE BOISSIEUX 3ème bureau;"8.74";"8.74";8.74
 4024 - BERTHE DE BOISSIEUX 4ème bureau;"1082";"667";"24";"667";"8";"6";"653";"56";"172";"425";"8,575803982";BERTHE DE BOISSIEUX 4ème bureau;"8.58";"8.58";8.58
 4025 - BERTHE DE BOISSIEUX 5ème bureau;"1244";"780";"34";"781";"12";"5";"764";"71";"240";"453";"9,293193717";BERTHE DE BOISSIEUX 5ème bureau;"9.29";"9.29";9.29
BUFFON;"1235";"630";"17";"631";"14";"9";"608";"46";"135";"427";"7,565789474";BUFFON 2ème bureau;"7.57";"7.57";7.57
BUFFON 1er bureau;"1175";"603";"7";"603";"8";"4";"591";"28";"128";"435";"4,737732657";BUFFON 1er bureau;"4.74";"4.74";4.74
 4041 - CAPUCHE 1er bureau;"1080";"627";"15";"627";"7";"8";"612";"91";"162";"359";"14,86928105";CAPUCHE;"14.87";"14.87";14.87
CLAUDE BERNARD;"891";"521";"14";"521";"10";"4";"507";"55";"168";"284";"10,84812623";﻿SIMONE LAGRANGE 2ème bureau;"10.85";"10.85";10.85
 3091 - CLEMENCEAU 1er bureau;"644";"293";"4";"293";"9";"4";"280";"51";"81";"148";"18,21428571";CLEMENCEAU 1er bureau;"18.21";"18.21";18.21
 3092 - CLEMENCEAU 2ème bureau;"935";"511";"10";"511";"8";"4";"499";"82";"151";"266";"16,43286573";CLEMENCEAU 2ème bureau;"16.43";"16.43";16.43
 3093 - CLEMENCEAU 3ème bureau;"958";"568";"7";"568";"19";"3";"546";"90";"154";"302";"16,48351648";CLEMENCEAU 3ème bureau;"16.48";"16.48";16.48
 3094 - CLEMENCEAU 4ème bureau;"946";"560";"13";"560";"9";"3";"548";"67";"192";"289";"12,22627737";CLEMENCEAU 4ème bureau;"12.23";"12.23";12.23
 1051 - DIDEROT 1er bureau;"1073";"621";"13";"621";"21";"2";"598";"87";"115";"396";"14,54849498";DIDEROT 1er bureau;"14.55";"14.55";14.55
 1081 - EAUX CLAIRES 1er bureau;"1056";"526";"7";"526";"4";"7";"515";"100";"179";"236";"19,41747573";EAUX CLAIRES 1er bureau;"19.42";"19.42";19.42
 1082 - EAUX CLAIRES 2ème bureau;"985";"613";"2";"613";"8";"4";"601";"106";"202";"293";"17,63727121";EAUX CLAIRES 2ème bureau;"17.64";"17.64";17.64
 1083 - EAUX CLAIRES 3ème bureau;"1202";"620";"4";"620";"10";"7";"603";"94";"178";"331";"15,58872305";EAUX CLAIRES 3ème bureau;"15.59";"15.59";15.59
 1084 - EAUX CLAIRES 4ème bureau;"1101";"587";"9";"587";"9";"12";"566";"69";"171";"326";"12,19081272";EAUX CLAIRES 4ème bureau;"12.19";"12.19";12.19
 1085 - EAUX CLAIRES 5ème bureau;"778";"370";;"370";"7";"2";"361";"81";"102";"178";"22,43767313";EAUX CLAIRES 5ème bureau;"22.44";"22.44";22.44
 4031 - ELISEE CHATIN 1er bureau;"805";"405";"13";"405";"11";"6";"388";"65";"124";"199";"16,75257732";ELISEE CHATIN 1er bureau;"16.75";"16.75";16.75
