,imb_id,rank,addr_code_x,imb_code_x,code_techno,classe_debit_montant,classe_debit_descendant,imb_longitude,imb_latitude,imb_code_y,imb_code_insee,imb_nbr_logloc,imb_source,imb_type,addr_code_y,imb_num,addr_numero,addr_rep,addr_nom_voie,addr_nom_ld,addr_code_insee,addr_nom_commune,addr_id_fantoir,addr_source,debit_Mbits
1893,5791,7.0,38185_1635_00022,IMB/38185/C/01P2,COAX,THD30,THD1G,637071.0283086331,5647288.537703007,IMB/38185/C/01P2,38185,11,fo,imm,38185_1635_00022,,22.0,,Rue Claude Kogan,,38185,Grenoble,38185_1635,ban,1000.0
1928,7687,7.0,38185_4570_00014,IMB/38185/C/03BH,COAX,THD30,THD1G,636670.23520796,5652212.9183842605,IMB/38185/C/03BH,38185,1,fo,imm,38185_4570_00014,,14.0,,Route de Lyon,,38185,Grenoble,38185_4570,ban,1000.0
1941,8079,7.0,38185_0950_00124_bis,IMB/38185/C/03MX,COAX,THD30,THD1G,635646.4459592535,5651278.583566431,IMB/38185/C/03MX,38185,14,fo,imm,38185_0950_00124_bis,,124.0,bis,Cours Berriat,,38185,Grenoble,38185_0950,ban,1000.0
1965,8143,7.0,38185_4820_00018,IMB/38185/C/01G7,COAX,THD30,THD1G,638383.4801101021,5652133.049186169,IMB/38185/C/01G7,38185,31,fo,imm,38185_4820_00018,,18.0,,Boulevard Maréchal Leclerc,,38185,Grenoble,38185_4820,ban,1000.0
3249,10811,7.0,38185_4750_00003,IMB/38185/C/02OZ,COAX,THD30,THD1G,637769.3405545832,5650083.342853918,IMB/38185/C/02OZ,38185,20,fo,imm,38185_4750_00003,phenix ii,3.0,,Rue Marcel Porte,,38185,Grenoble,38185_4750,ban,1000.0
4678,22883,7.0,38185_4160_00003,IMB/38185/C/01F1,COAX,THD30,THD1G,637829.4330167574,5651775.904779625,IMB/38185/C/01F1,38185,18,fo,imm,38185_4160_00003,,3.0,,Rue Lafayette,,38185,Grenoble,38185_4160,ban,1000.0
6584,36495,4.0,38185_5800_00004,IMB/38185/C/00C6,CU,HD3,BHD8,637485.8002641344,5651432.384399951,IMB/38185/C/00C6,38185,0,fo,imm,38185_5800_00004,,4.0,,Rue de la Poste,,38185,Grenoble,38185_5800,ban,15.5
7404,41828,7.0,38185_4075_00008,IMB/38185/S/05PM,COAX,THD30,THD1G,639755.6762958686,5650756.422176308,IMB/38185/S/05PM,38185,1,fo,imm,38185_4075_00008,c l horizon,8.0,,Avenue Jules Vallès,,38185,Grenoble,38185_4075,ban,1000.0
7407,41862,7.0,38185_6690_00042,IMB/38185/C/0108,COAX,THD30,THD1G,636621.0478357313,5650406.033259671,IMB/38185/C/0108,38185,16,fo,imm,38185_6690_00042,,42.0,,Rue de Turenne,,38185,Grenoble,38185_6690,ban,1000.0
7435,42011,7.0,38185_5800_00004,IMB/38185/C/00CK,FO,THD100,THD1G,637494.086012482,5651460.473622991,IMB/38185/C/00CK,38185,14,fo,imm,38185_5800_00004,,4.0,,Rue de la Poste,,38185,Grenoble,38185_5800,ban,1000.0
7436,42021,7.0,38185_3890_00005,IMB/38185/C/04W7,COAX,THD30,THD1G,636337.5397654846,5650470.89418275,IMB/38185/C/04W7,38185,7,fo,imm,38185_3890_00005,,5.0,,Rue Jean Prévost,,38185,Grenoble,38185_3890,ban,1000.0
7437,42022,7.0,38185_2430_00008,IMB/38185/C/00HZ,COAX,THD30,THD1G,636965.1931243942,5651786.282462205,IMB/38185/C/00HZ,38185,13,fo,imm,38185_2430_00008,,8.0,,Boulevard Édouard Rey,,38185,Grenoble,38185_2430,ban,1000.0
7460,42149,6.0,38185_4130_00023,IMB/38185/X/02SG,COAX,HD3,THD100,638706.3397175584,5647789.132747057,IMB/38185/X/02SG,38185,1,fo,pav,38185_4130_00023,,23.0,,Avenue la Bruyère,,38185,Grenoble,38185_4130,ban,550.0
7462,42167,7.0,38185_0595_00123,IMB/38185/C/073X,COAX,THD30,THD1G,637980.2574005069,5647280.43257298,IMB/38185/C/073X,38185,1,fo,imm,38185_0595_00123,,123.0,,Galerie de l'Arlequin,,38185,Grenoble,38185_0595,ban,1000.0
7463,42174,7.0,38185_5400_00007,IMB/38185/S/01TL,FO,THD100,THD1G,636561.8021755315,5647010.602887258,IMB/38185/S/01TL,38185,1,fo,pav,38185_5400_00007,,7.0,,Rue de l'Obiou,,38185,Grenoble,38185_5400,ban,1000.0
7470,42204,7.0,38185_6675_00004,IMB/38185/C/01YP,COAX,THD30,THD1G,638711.1533276489,5647703.629237027,IMB/38185/C/01YP,38185,3,fo,imm,38185_6675_00004,,4.0,,Rue des Trois Épis,,38185,Grenoble,38185_6675,ban,1000.0
7472,42209,7.0,38185_5850_00002,IMB/38185/C/01I5,FO,THD100,THD1G,637953.202154147,5651786.182205945,IMB/38185/C/01I5,38185,19,fo,imm,38185_5850_00002,,2.0,,Rue Président Carnot,,38185,Grenoble,38185_5850,ban,1000.0
7474,42218,7.0,38185_3140_00017,IMB/38185/C/00LG,FO,THD100,THD1G,636804.9072617319,5650199.0192419095,IMB/38185/C/00LG,38185,13,fo,imm,38185_3140_00017,,17.0,,Rue Général Rambaud,,38185,Grenoble,38185_3140,ban,1000.0
7481,42267,7.0,38185_2350_00043_bis,IMB/38185/C/04J0,COAX,THD30,THD1G,635629.471520004,5649225.954984957,IMB/38185/C/04J0,38185,40,fo,imm,38185_2350_00043_bis,,43.0,bis,Rue des Eaux Claires,,38185,Grenoble,38185_2350,ban,1000.0
7523,42409,7.0,38185_3517_00013,IMB/38185/C/02GX,FO,THD100,THD1G,637470.7778268055,5647326.667539232,IMB/38185/C/02GX,38185,10,fo,imm,38185_3517_00013,,13.0,,Rue Henry Duhamel,,38185,Grenoble,38185_3517,ban,1000.0
7525,42432,7.0,38185_0950_00144,IMB/38185/C/03LX,COAX,THD30,THD1G,635475.4419271884,5651290.222103058,IMB/38185/C/03LX,38185,6,fo,imm,38185_0950_00144,,144.0,,Cours Berriat,,38185,Grenoble,38185_0950,ban,1000.0
7530,42471,7.0,38185_4180_00017,IMB/38185/C/010W,COAX,THD30,THD1G,637059.3680719913,5650810.871849948,IMB/38185/C/010W,38185,10,fo,imm,38185_4180_00017,,17.0,,Rue Lakanal,,38185,Grenoble,38185_4180,ban,1000.0
7578,42679,7.0,38185_2150_00001,IMB/38185/C/04LH,COAX,THD30,THD1G,635739.9807666836,5650053.000012692,IMB/38185/C/04LH,38185,14,fo,imm,38185_2150_00001,,1.0,,Rue Docteur Calmette,,38185,Grenoble,38185_2150,ban,1000.0
7580,42688,7.0,38185_0663_00011,IMB/38185/C/0446,COAX,THD30,THD1G,635897.3062917762,5651377.279368787,IMB/38185/C/0446,38185,10,fo,imm,38185_0663_00011,le carre gregoire,11.0,,Rue Auguste Genin,,38185,Grenoble,38185_0663,ban,1000.0
7588,42722,7.0,38185_6320_00006,IMB/38185/C/00EC,COAX,THD30,THD1G,637502.1096660815,5651383.3204065785,IMB/38185/C/00EC,38185,12,fo,imm,38185_6320_00006,,6.0,,Rue de Sault,,38185,Grenoble,38185_6320,ban,1000.0
7597,42810,7.0,38185_3010_00003,IMB/38185/S/061K,COAX,THD30,THD1G,639827.801351784,5650097.714806192,IMB/38185/S/061K,38185,1,fo,pav,38185_3010_00003,,3.0,,Impasse Ganganelli,,38185,Grenoble,38185_3010,ban,1000.0
7598,42820,7.0,38185_2350_00048,IMB/38185/S/04IF,COAX,THD30,THD1G,635483.8553249909,5649200.950545851,IMB/38185/S/04IF,38185,1,fo,pav,38185_2350_00048,,48.0,,Rue des Eaux Claires,,38185,Grenoble,38185_2350,ban,1000.0
7628,42998,7.0,38185_4904_00037_bis,IMB/38185/X/03C6,COAX,THD30,THD1G,635619.5140830737,5651046.517968075,IMB/38185/X/03C6,38185,2,fo,pav,38185_4904_00037_bis,,37.0,bis,Rue Marx Dormoy,,38185,Grenoble,38185_4904,ban,1000.0
