;code Ville;Techno
0;38074;SAT
1;38429;SAT
2;38478;SAT
3;38197;SAT
4;38310;SAT
5;38094;4GF
6;38509;SAT
7;38010;4GF
8;38543;SAT
9;38505;SAT
10;38497;SAT
11;38128;4GF
12;38525;SAT
13;38266;4GF
14;38073;SAT
15;38418;SAT
16;38087;SAT
17;38399;4GF
18;38198;4GF
19;38148;SAT
20;38124;SAT
21;38116;SAT
22;38369;SAT
23;38053;SAT
24;38187;SAT
25;38069;4GF
26;38457;SAT
27;38414;SAT
28;38015;SAT
29;38517;SAT
30;38159;SAT
31;38515;SAT
32;38390;4GF
33;38346;4GF
34;38551;SAT
35;38335;SAT
36;38151;SAT
37;38348;4GF
38;38174;SAT
39;38034;SAT
40;38253;SAT
41;38004;4GF
42;38391;SAT
43;38455;SAT
44;38511;SAT
45;38049;SAT
46;38019;SAT
47;38448;SAT
48;38084;SAT
49;38307;4GF
50;38336;SAT
51;38147;4GF
52;38323;4GF
53;38423;SAT
54;38100;4GF
55;38221;SAT
56;38075;SAT
57;38458;SAT
58;38076;SAT
59;38013;SAT
60;38270;SAT
61;38222;SAT
62;38536;SAT
63;38243;SAT
64;38055;SAT
65;38078;SAT
66;38039;SAT
67;38564;SAT
68;38083;SAT
69;38288;SAT
70;38203;SAT
71;38061;SAT
72;38363;4GF
73;38199;SAT
74;38175;SAT
75;38342;4GF
76;38144;SAT
77;38018;SAT
78;38439;4GF
79;38431;SAT
80;38051;4GF
81;38247;SAT
82;38246;SAT
83;38328;SAT
84;38526;SAT
85;38190;4GF
86;38556;SAT
87;38500;4GF
88;38470;SAT
89;38205;SAT
90;38343;4GF
91;38086;SAT
92;38118;SAT
93;38127;SAT
94;38366;SAT
95;38065;SAT
96;38044;4GF
97;38177;SAT
98;38479;SAT
99;38489;4GF
100;38136;4GF
101;38048;4GF
102;38042;4GF
103;38565;SAT
104;38398;SAT
105;38409;SAT
106;38179;SAT
107;38134;4GF
108;38228;SAT
109;38539;4GF
110;38249;SAT
111;38120;SAT
112;38149;SAT
113;38522;SAT
114;38524;SAT
115;38459;SAT
116;38352;SAT
117;38091;4GF
118;38298;SAT
119;38126;SAT
120;38207;SAT
121;38291;SAT
122;38135;SAT
123;38442;SAT
124;38529;SAT
125;38077;SAT
126;38110;SAT
127;38250;SAT
128;38379;4GF
129;38359;SAT
130;38301;SAT
131;38186;SAT
132;38239;SAT
133;38356;SAT
134;38501;SAT
135;38481;4GF
136;38219;4GF
137;38383;SAT
138;38002;SAT
139;38400;SAT
140;38538;SAT
141;38436;SAT
142;38047;4GF
143;38523;SAT
144;38009;SAT
145;38231;4GF
146;38062;SAT
147;38045;SAT
148;38560;SAT
149;38155;SAT
150;38316;SAT
151;38236;SAT
152;38388;SAT
153;38373;SAT
154;38378;SAT
155;38474;SAT
156;38454;SAT
157;38257;4GF
158;38557;SAT
159;38549;SAT
160;38410;SAT
161;38297;SAT
162;38285;SAT
163;38372;SAT
164;38057;SAT
165;38456;SAT
166;38496;4GF
167;38540;SAT
168;38420;SAT
169;38212;4GF
170;38492;SAT
171;38426;SAT
172;38001;SAT
173;38332;SAT
174;38184;SAT
175;38319;4GF
176;38063;SAT
177;38473;4GF
178;38368;SAT
179;38555;4GF
180;38181;SAT
181;38421;SAT
182;38530;SAT
183;38217;SAT
184;38172;SAT
185;38467;SAT
186;38533;SAT
187;38111;SAT
188;38382;SAT
189;38173;SAT
190;38105;SAT
191;38290;4GF
192;38146;SAT
193;38023;SAT
194;38090;SAT
195;38085;SAT
196;38037;SAT
197;38060;SAT
198;38471;SAT
199;38396;4GF
200;38531;SAT
201;38424;SAT
202;38513;SAT
203;38281;SAT
204;38252;SAT
205;38235;SAT
206;38133;SAT
207;38026;4GF
208;38546;SAT
209;38345;SAT
210;38480;SAT
211;38200;SAT
212;38326;SAT
213;38469;SAT
214;38269;4GF
215;38518;SAT
216;38245;SAT
217;38453;SAT
218;38008;SAT
219;38046;SAT
220;38404;SAT
221;38487;SAT
222;38102;4GF
223;38260;SAT
224;38226;SAT
225;38393;SAT
226;38167;4GF
227;38259;SAT
228;38268;SAT
229;38081;4GF
230;38152;SAT
231;38109;4GF
232;38494;SAT
233;38550;SAT
234;38278;SAT
235;38320;SAT
236;38315;SAT
237;38098;SAT
238;38093;SAT
239;38314;SAT
240;38232;4GF
241;38035;4GF
242;38166;SAT
243;38272;SAT
244;38106;SAT
245;38504;SAT
246;38376;SAT
247;38041;SAT
248;38017;SAT
249;38325;SAT
250;38450;SAT
251;38483;SAT
252;38210;SAT
253;38357;SAT
254;38163;SAT
255;38255;SAT
256;38349;4GF
257;38036;SAT
258;38020;SAT
259;38384;SAT
260;38490;SAT
261;38005;SAT
262;38139;SAT
263;38566;SAT
264;38112;SAT
265;38150;SAT
266;38488;SAT
267;38258;SAT
268;38407;SAT
269;38370;SAT
270;38279;SAT
271;38224;4GF
272;38192;SAT
273;38339;4GF
