field_1;code Ville;pourcentage_bas_debit;débit nombre
"0";"38074";"4";"4"
"1";"38429";"0";"0"
"2";"38478";"8";"8"
"3";"38197";"24";"24"
"4";"38310";"0";"0"
"5";"38094";"3";"3"
"6";"38509";"4";"4"
"7";"38010";"11";"11"
"8";"38543";"11";"11"
"9";"38505";"9";"9"
"10";"38497";"2";"2"
"11";"38128";"0";"0"
"12";"38525";"29";"29"
"13";"38266";"5";"5"
"14";"38073";"1";"1"
"15";"38418";"28";"28"
"16";"38087";"6";"6"
"17";"38399";"2";"2"
"18";"38198";"1";"1"
"19";"38148";"4";"4"
"20";"38124";"1";"1"
"21";"38116";"8";"8"
"22";"38369";"5";"5"
"23";"38053";"4";"4"
"24";"38187";"1";"1"
"25";"38069";"2";"2"
"26";"38457";"2";"2"
"27";"38414";"20";"20"
"28";"38015";"1";"1"
"29";"38517";"2";"2"
"30";"38159";"4";"4"
"31";"38515";"2";"2"
"32";"38390";"8";"8"
"33";"38346";"6";"6"
"34";"38551";"0";"0"
"35";"38335";"2";"2"
"36";"38151";"11";"11"
"37";"38348";"9";"9"
"38";"38174";"1";"1"
"39";"38034";"2";"2"
"40";"38253";"2";"2"
"41";"38004";"1";"1"
"42";"38391";"1";"1"
"43";"38455";"3";"3"
"44";"38511";"0";"0"
"45";"38049";"5";"5"
"46";"38019";"0";"0"
"47";"38448";"9";"9"
"48";"38084";"16";"16"
"49";"38307";"14";"14"
"50";"38336";"8";"8"
"51";"38147";"11";"11"
"52";"38323";"16";"16"
"53";"38423";"17";"17"
"54";"38100";"0";"0"
"55";"38221";"18";"18"
"56";"38075";"2";"2"
"57";"38458";"27";"27"
"58";"38076";"15";"15"
"59";"38013";"2";"2"
"60";"38270";"1";"1"
"61";"38222";"11";"11"
"62";"38536";"2";"2"
"63";"38243";"4";"4"
"64";"38055";"2";"2"
"65";"38078";"20";"20"
"66";"38039";"0";"0"
"67";"38564";"0";"0"
"68";"38083";"14";"14"
"69";"38288";"11";"11"
"70";"38203";"0";"0"
"71";"38061";"1";"1"
"72";"38363";"2";"2"
"73";"38199";"14";"14"
"74";"38175";"12";"12"
"75";"38342";"16";"16"
"76";"38144";"1";"1"
"77";"38018";"2";"2"
"78";"38439";"7";"7"
"79";"38431";"17";"17"
"80";"38051";"5";"5"
"81";"38247";"1";"1"
"82";"38246";"6";"6"
"83";"38328";"7";"7"
"84";"38526";"2";"2"
"85";"38190";"1";"1"
"86";"38556";"16";"16"
"87";"38500";"1";"1"
"88";"38470";"1";"1"
"89";"38205";"6";"6"
"90";"38343";"14";"14"
"91";"38086";"16";"16"
"92";"38118";"8";"8"
"93";"38127";"2";"2"
"94";"38366";"17";"17"
"95";"38065";"2";"2"
"96";"38044";"1";"1"
"97";"38177";"14";"14"
"98";"38479";"2";"2"
"99";"38489";"0";"0"
"100";"38136";"18";"18"
"101";"38048";"15";"15"
"102";"38042";"11";"11"
"103";"38565";"0";"0"
"104";"38398";"4";"4"
"105";"38409";"8";"8"
"106";"38179";"2";"2"
"107";"38134";"0";"0"
"108";"38228";"9";"9"
"109";"38539";"14";"14"
"110";"38249";"1";"1"
"111";"38120";"16";"16"
"112";"38149";"0";"0"
"113";"38522";"8";"8"
"114";"38524";"7";"7"
"115";"38459";"6";"6"
"116";"38352";"19";"19"
"117";"38091";"5";"5"
"118";"38298";"0";"0"
"119";"38126";"1";"1"
"120";"38207";"0";"0"
"121";"38291";"18";"18"
"122";"38135";"16";"16"
"123";"38442";"3";"3"
"124";"38529";"1";"1"
"125";"38077";"4";"4"
"126";"38110";"16";"16"
"127";"38250";"15";"15"
"128";"38379";"6";"6"
"129";"38359";"4";"4"
"130";"38301";"1";"1"
"131";"38186";"4";"4"
"132";"38239";"3";"3"
"133";"38356";"17";"17"
"134";"38501";"1";"1"
"135";"38481";"2";"2"
"136";"38219";"20";"20"
"137";"38383";"2";"2"
"138";"38002";"24";"24"
"139";"38400";"1";"1"
"140";"38538";"9";"9"
"141";"38436";"19";"19"
"142";"38047";"14";"14"
"143";"38523";"6";"6"
"144";"38009";"0";"0"
"145";"38231";"0";"0"
"146";"38062";"20";"20"
"147";"38045";"4";"4"
"148";"38560";"1";"1"
"149";"38155";"2";"2"
"150";"38316";"0";"0"
"151";"38236";"5";"5"
"152";"38388";"9";"9"
"153";"38373";"15";"15"
"154";"38378";"5";"5"
"155";"38474";"11";"11"
"156";"38454";"6";"6"
"157";"38257";"1";"1"
